Id Files Lines Services Up Down Tables Rows ByteLines Interfaces Functions SeededTests Category
cs18 518 81816 151 47 104 24 563336 31419 17 78 9 FLOW
cs07 338 42530 86 7 79 79 110573 14136 9 66 21 FLOW
cs11 427 33593 58 3 55 13 2313 15229 6 49 128 RULE
cs17 512 80979 167 10 157 159 7145998 26267 10 69 211 QUERY
cs06 331 33157 117 20 97 1480 45507 9000 5 13 10 RULE
cs09 407 134001 106 9 97 119 83576 38404 12 31 13 FLOW
cs23 800 186830 111 8 103 47 12266746 44777 19 82 350 RULE
cs16 497 31744 121 8 113 24 134201 11000 8 45 18 CRUD
cs39 2069 797913 92 1 91 158 536338 212105 22 113 163 STATE
cs27 863 82760 108 5 103 421 635842 19242 23 69 12 CRUD
cs33 1141 548957 99 9 90 2165 2398 171760 17 115 373 FLOW
cs19 541 72848 132 3 129 1480 45507 21086 9 57 22 STATE
cs35 1274 170084 90 9 81 106 24324 59550 20 132 427 RULE
cs34 1173 142637 172 7 165 115 6801794 38914 19 57 14 RULE
cs21 700 87482 101 4 97 27 9426345 27965 15 52 17 CRUD
cs08 347 197867 101 5 96 8 938719 66727 8 63 345 CRUD
cs25 819 344571 111 9 102 108 24226760 108364 12 73 51 FLOW
cs13 477 37073 143 32 111 42 2596605 11583 7 35 194 STATE
cs03 253 33318 161 18 143 21 0 9147 4 7 67 FLOW
cs12 439 39066 143 14 129 568 23350 13364 9 47 592 QUERY
cs26 819 62399 157 38 119 70 38548 22619 22 89 81 CRUD
cs01 132 8597 104 4 100 2 476872 69711 3 10 56 CRUD
cs14 485 135808 116 9 107 0 0 40455 15 59 2 QUERY
cs22 737 235013 77 3 74 72 1141760 68432 11 46 112 CRUD
cs29 880 95434 169 37 132 203 686358 56727 9 34 2 FLOW
cs28 871 89753 154 1 153 8 48458 31498 8 85 360 RULE
cs32 1108 110535 167 26 141 16 23693 35026 19 136 37 FLOW
cs40 2315 183107 102 2 100 421 635842 42040 29 109 56 STATE
cs15 495 56874 85 2 83 17 50310974 23973 2 28 119 STATE
cs02 199 92280 108 6 102 0 0 22742 4 15 2 QUERY
cs30 887 86758 138 22 116 22 114636 28721 17 69 130 RULE
cs04 263 127699 153 11 142 0 0 35487 6 15 3 QUERY
cs10 423 62749 73 3 70 45 1117918 16261 5 5 69 RULE
cs05 292 23155 105 5 100 30 6658077 6675 10 35 20 CRUD
cs20 585 48704 138 2 136 78 11573934 14704 9 44 249 CRUD
cs36 1276 372437 78 2 76 175 3162469 125705 54 250 194 FLOW
cs38 1546 152321 131 26 105 133 11964007 44270 53 124 58 RULE
cs24 809 95201 80 2 78 82 373707 37400 19 105 108 FLOW
cs31 993 133722 154 12 142 97 1858471 48601 11 75 134 RULE
cs37 1515 256054 202 55 147 325 3784103 69228 26 212 238 CRUD
